DriverId,Driver,LapId,LapNumber,LapTime,LapTime,Sector1Time,Sector2Time,Sector3Time,Position,Stint,Compound,TyreLife,PitInTime,PitOutTime,TrackStatus
17,VER,31,31.0,0 days 00:01:28.127000,0 days 00:01:28.127000,0 days 00:00:31.123000,0 days 00:00:18.741000,0 days 00:00:38.263000,3.0,4.0,INTERMEDIATE,31.0,,,1
17,VER,32,32.0,0 days 00:01:28.208000,0 days 00:01:28.208000,0 days 00:00:30.905000,0 days 00:00:18.890000,0 days 00:00:38.413000,3.0,4.0,INTERMEDIATE,32.0,,,1
17,VER,33,33.0,0 days 00:01:28.046000,0 days 00:01:28.046000,0 days 00:00:30.905000,0 days 00:00:18.810000,0 days 00:00:38.331000,3.0,4.0,INTERMEDIATE,33.0,,,12
17,VER,34,34.0,0 days 00:02:08.598000,0 days 00:02:08.598000,0 days 00:00:38.569000,0 days 00:00:29.499000,0 days 00:01:00.530000,3.0,4.0,INTERMEDIATE,34.0,0 days 02:09:24.559000,,24
17,VER,35,35.0,0 days 00:02:04.508000,0 days 00:02:04.508000,0 days 00:00:46.794000,0 days 00:00:27.330000,0 days 00:00:50.384000,3.0,5.0,MEDIUM,1.0,,0 days 02:09:43.218000,4
17,VER,36,36.0,0 days 00:01:56.334000,0 days 00:01:56.334000,0 days 00:00:33.284000,0 days 00:00:30.201000,0 days 00:00:52.849000,3.0,5.0,MEDIUM,2.0,,,4
17,VER,37,37.0,,,0 days 00:00:46.632000,0 days 00:00:40.725000,0 days 00:01:15.519000,3.0,5.0,MEDIUM,3.0,,,4
17,VER,38,38.0,0 days 00:02:17.910000,0 days 00:02:17.910000,0 days 00:00:40.652000,0 days 00:00:41.364000,0 days 00:00:55.894000,3.0,5.0,MEDIUM,4.0,,,4
17,VER,39,39.0,0 days 00:02:12.714000,0 days 00:02:12.714000,0 days 00:00:42.699000,0 days 00:00:36.267000,0 days 00:00:53.748000,3.0,5.0,MEDIUM,5.0,,,4
17,VER,40,40.0,0 days 00:02:11.498000,0 days 00:02:11.498000,0 days 00:00:43.488000,0 days 00:00:33.721000,0 days 00:00:54.289000,3.0,5.0,MEDIUM,6.0,,,4
17,VER,41,41.0,0 days 00:02:12.004000,0 days 00:02:12.004000,0 days 00:00:44.791000,0 days 00:00:29.249000,0 days 00:00:57.964000,3.0,5.0,MEDIUM,7.0,,,41
17,VER,42,42.0,0 days 00:01:25.317000,0 days 00:01:25.317000,0 days 00:00:30.288000,0 days 00:00:18.886000,0 days 00:00:36.143000,3.0,5.0,MEDIUM,8.0,,,1
